INFO:root:[{'id': 0, 'score': 0.95898074, 'class': 1, 'label': 'metal', 'bbox': [0.03176847, 0.511096, 0.62783456, 0.6736001], 'time': '2018-02-20T10:37:48:718327'}]
INFO:root:[{'id': 0, 'score': 0.9981542, 'class': 1, 'label': 'metal', 'bbox': [0.030547202, 0.47983378, 0.6234286, 0.6607689], 'time': '2018-02-20T10:37:48:848666'}]
INFO:root:[{'id': 0, 'score': 0.99703526, 'class': 1, 'label': 'metal', 'bbox': [0.029219419, 0.47242007, 0.6291001, 0.66943526], 'time': '2018-02-20T10:37:48:973352'}]
INFO:root:[{'id': 0, 'score': 0.99553716, 'class': 1, 'label': 'metal', 'bbox': [0.036364585, 0.43758884, 0.66170084, 0.70448935], 'time': '2018-02-20T10:37:49:100492'}]
INFO:root:[{'id': 0, 'score': 0.9988105, 'class': 1, 'label': 'metal', 'bbox': [0.07773906, 0.4195215, 0.693628, 0.7024465], 'time': '2018-02-20T10:37:49:236995'}]
INFO:root:[{'id': 0, 'score': 0.98274577, 'class': 1, 'label': 'metal', 'bbox': [0.07816422, 0.42477804, 0.70932144, 0.70033294], 'time': '2018-02-20T10:37:49:370640'}, {'id': 1, 'score': 0.9590168, 'class': 2, 'label': 'plastic', 'bbox': [0.07156515, 0.43079856, 0.73326117, 0.6998017], 'time': '2018-02-20T10:37:49:370640'}]
INFO:root:[{'id': 0, 'score': 0.9246608, 'class': 1, 'label': 'metal', 'bbox': [0.0677886, 0.414941, 0.7356663, 0.7091952], 'time': '2018-02-20T10:37:49:506850'}]
INFO:root:[{'id': 0, 'score': 0.9963038, 'class': 1, 'label': 'metal', 'bbox': [0.06686512, 0.41889697, 0.7281493, 0.7056605], 'time': '2018-02-20T10:37:49:633370'}]
INFO:root:[{'id': 0, 'score': 0.9704766, 'class': 1, 'label': 'metal', 'bbox': [0.08099806, 0.40989316, 0.78901565, 0.685187], 'time': '2018-02-20T10:37:49:757867'}]
INFO:root:[{'id': 0, 'score': 0.98840046, 'class': 1, 'label': 'metal', 'bbox': [0.07933998, 0.41481298, 0.7436109, 0.7058304], 'time': '2018-02-20T10:37:49:885852'}]
INFO:root:[{'id': 0, 'score': 0.99963593, 'class': 1, 'label': 'metal', 'bbox': [0.09639192, 0.41891128, 0.75912404, 0.71317285], 'time': '2018-02-20T10:37:50:015007'}]
INFO:root:[{'id': 0, 'score': 0.9987306, 'class': 1, 'label': 'metal', 'bbox': [0.111230135, 0.38397783, 0.7722008, 0.69834906], 'time': '2018-02-20T10:37:50:139265'}]
INFO:root:[{'id': 0, 'score': 0.998538, 'class': 1, 'label': 'metal', 'bbox': [0.117323935, 0.37332928, 0.7878038, 0.6820977], 'time': '2018-02-20T10:37:50:263371'}]
INFO:root:[{'id': 0, 'score': 0.99883753, 'class': 1, 'label': 'metal', 'bbox': [0.1125842, 0.36241752, 0.8069384, 0.67811435], 'time': '2018-02-20T10:37:50:398586'}]
INFO:root:[{'id': 0, 'score': 0.99636877, 'class': 1, 'label': 'metal', 'bbox': [0.1063422, 0.3605375, 0.8141614, 0.6801448], 'time': '2018-02-20T10:37:50:536439'}, {'id': 1, 'score': 0.78202, 'class': 2, 'label': 'plastic', 'bbox': [0.13565132, 0.36172897, 0.8060241, 0.67881554], 'time': '2018-02-20T10:37:50:536439'}]
INFO:root:[{'id': 0, 'score': 0.9673127, 'class': 2, 'label': 'plastic', 'bbox': [0.17182556, 0.36161357, 0.83556616, 0.6905125], 'time': '2018-02-20T10:37:50:675476'}, {'id': 1, 'score': 0.91672784, 'class': 1, 'label': 'metal', 'bbox': [0.11369532, 0.34714544, 0.8165863, 0.69078875], 'time': '2018-02-20T10:37:50:675476'}]
INFO:root:[{'id': 0, 'score': 0.99637693, 'class': 1, 'label': 'metal', 'bbox': [0.122339904, 0.34759998, 0.8265899, 0.6903454], 'time': '2018-02-20T10:37:50:810568'}]
INFO:root:[{'id': 0, 'score': 0.9990515, 'class': 1, 'label': 'metal', 'bbox': [0.13382718, 0.3769921, 0.8257742, 0.6677438], 'time': '2018-02-20T10:37:50:943301'}, {'id': 1, 'score': 0.88523835, 'class': 1, 'label': 'metal', 'bbox': [0.10749811, 0.34733233, 0.7282696, 0.597962], 'time': '2018-02-20T10:37:50:943301'}]
INFO:root:[{'id': 0, 'score': 0.9043255, 'class': 1, 'label': 'metal', 'bbox': [0.47415686, 0.22004953, 1.0, 0.42849568], 'time': '2018-02-20T10:37:52:047477'}]
INFO:root:[{'id': 0, 'score': 0.88790286, 'class': 1, 'label': 'metal', 'bbox': [0.3089893, 0.46466202, 0.9228003, 0.6565251], 'time': '2018-02-20T10:37:52:317365'}]
INFO:root:[{'id': 0, 'score': 0.9588133, 'class': 1, 'label': 'metal', 'bbox': [0.1532236, 0.36432707, 0.90336275, 0.63277555], 'time': '2018-02-20T10:37:52:793409'}]
INFO:root:[{'id': 0, 'score': 0.9518667, 'class': 1, 'label': 'metal', 'bbox': [0.1713146, 0.3562219, 0.7855305, 0.5684369], 'time': '2018-02-20T10:37:52:927172'}]
INFO:root:[{'id': 0, 'score': 0.8606424, 'class': 1, 'label': 'metal', 'bbox': [0.18300655, 0.34833598, 0.8999095, 0.59594315], 'time': '2018-02-20T10:37:53:052346'}]
INFO:root:[{'id': 0, 'score': 0.9579885, 'class': 1, 'label': 'metal', 'bbox': [0.1379318, 0.33576775, 0.9175737, 0.5826314], 'time': '2018-02-20T10:37:53:179336'}]
INFO:root:[{'id': 0, 'score': 0.9719952, 'class': 1, 'label': 'metal', 'bbox': [0.07681048, 0.29563057, 0.9581318, 0.6037079], 'time': '2018-02-20T10:37:53:308304'}]
INFO:root:[{'id': 0, 'score': 0.976393, 'class': 1, 'label': 'metal', 'bbox': [0.09048271, 0.27936316, 0.963954, 0.60308295], 'time': '2018-02-20T10:37:53:434361'}]
INFO:root:[{'id': 0, 'score': 0.99523085, 'class': 1, 'label': 'metal', 'bbox': [0.17528814, 0.27341348, 0.93307406, 0.57799727], 'time': '2018-02-20T10:37:53:557602'}]
INFO:root:[{'id': 0, 'score': 0.940164, 'class': 1, 'label': 'metal', 'bbox': [0.26667836, 0.24548, 0.91163564, 0.62212133], 'time': '2018-02-20T10:37:53:679881'}]
INFO:root:[{'id': 0, 'score': 0.99962425, 'class': 1, 'label': 'metal', 'bbox': [0.28038245, 0.23630951, 0.86681634, 0.6147238], 'time': '2018-02-20T10:37:53:805479'}]
INFO:root:[{'id': 0, 'score': 0.9999043, 'class': 1, 'label': 'metal', 'bbox': [0.28894168, 0.240541, 0.86525744, 0.6158928], 'time': '2018-02-20T10:37:53:932629'}]
INFO:root:[{'id': 0, 'score': 0.99997175, 'class': 1, 'label': 'metal', 'bbox': [0.29445234, 0.24101989, 0.85430527, 0.6263613], 'time': '2018-02-20T10:37:54:057165'}]
